influencer_name,views,likes,comments,engagement_rate_%,speech_sentiment,product_name,product_category,product_rating,product_review_count,product_sentiment,has_product_overlay,is_sponsored,promotion
Techno Hunters Tamil,21229,1166,4,5.511,0.5231,Foxin 10000mAh All-in-One Mini Power Bank with Built-in Cables | Fast Charging 22.5W QC+PD | Pocket Size Power Bank for All Phones | PTC Protected | Type C Input & Output | BIS Certified – Lavender,"Mobiles & Accessories
Laptops & Accessories
TV & Home Entertainment
Audio
Cameras
Computer Peripherals
Smart Technology",4.1,76,0.362,FALSE,TRUE,TRUE
SimpleGhar Tamil,18074914,351347,214,1.945,0.8243,"Godrej 30 L Qube Personal Standard Single door Cooling Solution (TEC Qube 30L HS Q103, Black)","Kitchen & Home Appliances
Large Appliances
Kitchen & Dining
Furniture
Home Furnishing
Home Decor
Home Improvement",3.6,30,0.7084,TRUE,FALSE,TRUE
Foodie Bharathi,32906,669,15,2.079,0.0529,"Cult Smart Body Fat Scale, US FDA Approved, 20+ Parameters, BMI, 10 members, Bluetooth Weight Machine, Body Fat Analyzer, LED Display.","Health & Personal Care
Bestsellers
Diet & Nutrition
Household Supplies
Health Care
Medical Equipment
Personal Care
Sports Supplements
Shaving & Hair Removal",4.3,82,0.273,TRUE,FALSE,TRUE
A Dapper Fashioner,10890,214,1,1.974,0.8532,"Chemist At Play Exfoliating Body Wash 236ml | Removes Tan, Fights Body Acne, Strawberry Skin | 4% (Salicylic Acid, Vitamin E & Lactic Acid) | Gentle Exfoliating Shower Gel For Women & Men","Beauty
Luxury Beauty
Bestsellers
Make-up & Nails
Skin Care
Hair Care & Styling
Fragrance
Men's Grooming",4.3,60,0.7681,TRUE,TRUE,TRUE
Subha Ranganath,8963,295,4,3.336,0.5065,Aqualogica Detan+ Dewy Sunscreen Spray For All Skin Types | Mess-Free Application I Hydrating & Sweat Resistant I Water-Light Texture | SPF 50+ PA++++ | For Men & Women | 100 ml,"Beauty
Luxury Beauty
Bestsellers
Make-up & Nails
Skin Care
Hair Care & Styling
Fragrance
Men's Grooming",3.9,32,0.1993,TRUE,FALSE,TRUE
Glamup by Bhumika,164291,1168,37,0.733,-0.5621,Hyphen All I Need Sunscreen SPF 50 PA ++++ |Lightweight Sun Cream That Moisturizes & Leaves No White Cast| UVA & UVB Sun Protection & Blue Light Protection|For Women & Men| Rich in Anti-Oxidants| 50ml,"Beauty
Luxury Beauty
Bestsellers
Make-up & Nails
Skin Care
Hair Care & Styling
Fragrance
Men's Grooming",4.2,92,0.552,FALSE,FALSE,FALSE
JUUJEE VLOGS,665189,13331,80,2.016,0.906,Ghar Soaps Sandalwood & Saffron Magic Soaps For Bath (100 Gms Pack Of 2) | Paraben Free | Chandan & Kesar Bath Soap | Handmade Soaps For Glowing | Skin Brightening Soap For Men & Women,"Beauty
Luxury Beauty
Bestsellers
Make-up & Nails
Skin Care
Hair Care & Styling
Fragrance
Men's Grooming",3.9,69,0.5138,FALSE,TRUE,TRUE
Basics With Bharath,389062,9009,34,2.324,0.2618,The Plant Fix Plix Jamun Acne Spot Corrector Gel For Reducing Active Acne | Day & Night Gel | Controls Oil & Soothes Inflammation | For Men & Women | 15g,"Beauty
Luxury Beauty
Bestsellers
Make-up & Nails
Skin Care
Hair Care & Styling
Fragrance
Men's Grooming",3.9,78,0.4279,TRUE,FALSE,TRUE
Lav💕,481768,7633,50,1.595,0.8894,"Conscious Chemist® Rapid Relief Acne Spot Corrector Gel | 15g | Triple-Action Treatment with 2% Salicylic Acid & Azelaic Acid | Clears Pimples, Reduces Redness & Fades Dark Spots | For Men & Women","Beauty
Luxury Beauty
Bestsellers
Make-up & Nails
Skin Care
Hair Care & Styling
Fragrance
Men's Grooming",3.9,87,0.3703,TRUE,TRUE,TRUE
Atchaya Sony ,27600,458,22,1.739,0.387,"DERMATOUCH Bye Bye Pigmentation Cream | Anti-Pigmentation Cream for Women and Men with Niacinamide, B-White, Lime Pearl, OA Hydroxitirosol LD & Tyrostat | 19g","Beauty
Luxury Beauty
Bestsellers
Make-up & Nails
Skin Care
Hair Care & Styling
Fragrance
Men's Grooming",3.8,67,0.0989,FALSE,FALSE,FALSE
